name,patternUrl,video,coordinates,website
bunny,https://mapavivo.app/marker/pattern-marker-test.patt,https://cdn.aframe.io/videos/bunny.mp4,"-73.82242646806895, 45.50616619195819",https://mapavivo.app/origen-magenta/
gysmara,https://cdn.glitch.global/d02f07f5-bc3c-4638-9d59-73af24ad2aca/pattern-Individual_Blocks-2.patt?v=1664944992554,https://cdn.glitch.me/d02f07f5-bc3c-4638-9d59-73af24ad2aca/gysmara.mp4?v=1665022544875,"-73.81890131405557, 45.509917326905885",https://mapavivo.app/gysmara/
